Var1,ASP14_i10_plus_midlow
r1723,1.053
r1725,1.053
r1726,1.053
r1728,1.053
r1730,1.053
r1731,1.053
r1732,1.053
r1733,1.053
r1734,1.053
r1735,1.053
r1736,1.053
r1737,1.053
r1738,1.053
r1739,1.053
r1740,1.053
r1741,1.053
r1742,1.053
r1743,1.053
r1744,1.053
r1745,1.053
r1746,1.053
r1747,1.053
r1748,1.053
r1749,1.053
r1750,1.053
r1751,1.053
r1752,1.053
r1753,1.053
r1754,1.053
r1755,1.053
r1756,1.053
r1757,1.053
r1758,1.053
r1759,1.053
r1760,1.053
r1761,1.053
r1762,1.053
r1763,1.053
r1764,1.053
r1765,1.053
r1766,1.053
r1767,1.053
r1768,1.053
r1769,1.053
r1770,1.053
r1771,1.053
r1772,1.053
r1773,1.053
r1774,1.053
r1775,1.053
r1776,1.053
r1777,1.053
r1778,1.053
r1779,1.053
r1780,1.053
r1781,1.053
r1782,1.053
r1783,1.053
r1784,1.053
r1785,1.053
r1786,1.053
r1787,1.053
r1788,1.053
r1789,1.053
r1790,1.053
r1791,1.053
r1792,1.053
r1796,1.053
r1797,1.053
r1798,1.053
r1799,1.053
r1800,1.053
r1801,1.053
r1803,1.053
r1805,1.053
r1806,1.053
r1807,1.053
r1808,1.053
r1809,1.053
r1810,1.053
r1811,1.053
r1812,1.053
r1813,1.053
r1814,1.053
r1815,1.053
r1816,1.053
r1817,1.053
r1818,1.053
r1819,1.053
r1820,1.053
r1821,1.053
r1822,1.053
r1823,1.053
r1824,1.053
r1825,1.053
r1826,1.053
r1827,1.053
r1828,1.053
r1829,1.053
r1830,1.053
r1831,1.053
r1832,1.053
r1833,1.053
r1834,1.053
r1835,1.053
r1836,1.053
r1837,1.053
r1841,1.053
r1842,1.053
r1843,1.053
r1844,1.053
r1846,1.053
r1847,1.053
r1848,1.053
r1850,1.053
r1851,1.053
r1852,1.053
r1853,1.053
r1854,1.053
r1855,1.053
r1856,1.053
r1857,1.053
r1858,1.053
r1859,1.053
r1860,1.053
r1861,1.053
r1862,1.053
r1863,1.053
r1864,1.053
r1865,1.053
r1866,1.053
r1867,1.053
r1871,1.053
r1872,1.053
r1873,1.053
r1874,1.053
r1876,1.053
r1877,1.053
r1879,1.053
r1880,1.053
r1881,1.053
r1882,1.053
r1883,1.053
r1884,1.053
r1885,1.053
r1886,1.053
r1887,1.053
r1888,1.053
r1889,1.053
r1890,1.053
r1891,1.053
r1892,1.053
r1893,1.053
r1894,1.053
r1895,1.053
r1896,1.053
r1897,1.053
r1898,1.053
r1899,1.053
r1900,1.053
r1901,1.053
r1902,1.053
r1903,1.053
r1904,1.053
r1905,1.053
r1906,1.053
r1907,1.053
r1908,1.053
r1909,1.053
r1910,1.053
r1911,1.053
r1912,1.053
r1913,1.053
r1914,1.053
r1915,1.053
r1916,1.053
r1917,1.053
r1918,1.053
r1919,1.053
r1920,1.053
r1921,1.053
r1922,1.053
r1923,1.053
r1924,1.053
r1925,1.053
r1926,1.053
r1928,1.053
r1929,1.053
r1930,1.053
r1931,1.053
r1932,1.053
r1933,1.053
r1934,1.053
r1935,1.053
r1936,1.053
r1937,1.053
r1938,1.053
r1939,1.053
r1940,1.053
r1941,1.053
r1942,1.053
r1943,1.053
r1944,1.053
r1945,1.053
r1946,1.053
r1947,1.053
r1948,1.053
r1949,1.053
r1950,1.053
r1951,1.053
r1952,1.053
r1953,1.053
r1954,1.053
r1955,1.053
r1956,1.053
r1957,1.053
r1958,1.053
r1959,1.053
r1960,1.053
r1961,1.053
r1962,1.053
r1963,1.053
r1964,1.053
r1965,1.053
r1966,1.053
r1967,1.053
r1968,1.053
r1969,1.053
r1970,1.053
r1971,1.053
r1972,1.053
r1973,1.053
r1974,1.053
r1975,1.053
r1976,1.053
