"p_val" "avg_log2FC" "pct.1" "pct.2" "p_val_adj" "cluster" "gene"
1.30281979855871e-50 0.793324254929133 0.99 0.541 2.40005463290485e-46 "2" "GMNN"
9.90532284336953e-50 0.854523414620953 1 0.628 1.82475857420554e-45 "2" "SMC2"
2.33322802429409e-49 0.665538297141519 0.906 0.325 4.29827266635457e-45 "2" "C16orf59"
3.92240984648325e-49 0.858014615883348 1 0.93 7.22586341919145e-45 "2" "TMEM106C"
5.42493557335091e-49 0.976403398820154 1 0.628 9.99381631322704e-45 "2" "UBE2T"
6.59198890106114e-49 0.781159252243734 1 0.99 1.21437619535348e-44 "2" "STRA13"
2.02700781408794e-48 0.689082088626146 1 0.768 3.7341537951128e-44 "2" "MSH6"
3.38686373310626e-48 0.931572371859955 1 0.97 6.23928036912835e-44 "2" "DUT"
1.83467604892386e-47 0.641439117505624 0.948 0.415 3.37984021732754e-43 "2" "POLD3"
4.9157566674273e-47 0.696380476070577 1 0.947 9.05580693273456e-43 "2" "RPA2"
1.02132395590545e-46 0.725329230318249 1 0.956 1.88148299156901e-42 "2" "IDH2"
1.10702641018323e-46 0.642910068870093 0.99 0.532 2.03936405283954e-42 "2" "HIRIP3"
4.7050849179591e-46 0.698671246219392 1 0.965 8.66770743586425e-42 "2" "SIVA1"
7.33780872721593e-46 0.689678522165732 0.979 0.594 1.35177112372772e-41 "2" "RFC5"
8.97443968259667e-46 0.65033625479218 1 0.932 1.65327127832796e-41 "2" "DCTPP1"
1.79209165416753e-45 0.639272449558207 1 0.968 3.30139124530743e-41 "2" "DNAJC9"
1.1501044503184e-44 0.70659161424761 1 0.909 2.11872241837656e-40 "2" "DTYMK"
1.32949832397026e-44 0.656002392485006 1 0.862 2.44920181241802e-40 "2" "TUBG1"
1.60068416130387e-44 0.658142228594842 0.615 0.116 2.94878036195399e-40 "2" "SPC25"
1.28582172163382e-43 0.660925739863864 0.875 0.294 2.36874077559383e-39 "2" "MND1"
1.44096377460922e-43 0.820064475620301 1 0.592 2.65454346558511e-39 "2" "NUSAP1"
4.97088086202962e-43 0.651825511807775 0.99 0.648 9.15735672403097e-39 "2" "MAD2L1"
2.41672675402209e-42 0.645459375443947 0.958 0.609 4.4520940262595e-38 "2" "PGP"
6.9947249774989e-41 0.767002440041828 1 0.995 1.28856823535485e-36 "2" "HMGB2"
1.06335280492855e-40 0.69245370760203 0.979 0.549 1.95890853723937e-36 "2" "CENPW"
1.1249089097632e-40 0.793313945612134 0.958 0.494 2.07230719356577e-36 "2" "CDK1"
4.39127211793299e-39 0.691870711832375 0.729 0.199 8.08960149565615e-35 "2" "CDCA5"
2.83769302837676e-37 0.718753999284194 0.76 0.239 5.22759809687567e-33 "2" "PBK"
2.88976500201604e-37 0.657868535496862 1 0.713 5.32352508671395e-33 "2" "SMC4"
1.10700781649258e-30 1.09615370429549 0.833 0.417 2.03932979954264e-26 "2" "RRM2"
2.78560294906034e-29 0.684868978754521 0.854 0.423 5.13163775275897e-25 "2" "FBXO5"
5.45252806166675e-29 0.922025977445674 1 0.995 1.00446471952025e-24 "2" "HIST1H4C"
1.99885237450893e-28 0.650638256872344 0.885 0.379 3.68228584432035e-24 "2" "TOP2A"
6.54078592071568e-20 0.738559044517101 0.958 0.748 1.20494358231424e-15 "2" "UBE2C"
1.26085067804907e-18 0.656549833680093 0.552 0.21 2.322739119102e-14 "2" "MKI67"
4.55864489854496e-55 0.594046696930859 0.967 0.324 8.39793563209952e-51 "3" "PAQR7"
8.80425106599918e-51 0.855001690453319 1 0.997 1.62191913137837e-46 "3" "SLC17A8"
5.01663093494467e-50 0.838495212841482 1 0.947 9.24163750835506e-46 "3" "CTNNB1"
2.890314651397e-49 0.796999044280698 1 0.944 5.32453765080355e-45 "3" "PTPRS"
8.73713658069069e-49 0.799085772115483 1 0.998 1.60955530089484e-44 "3" "HNRNPH1"
5.64828805948819e-44 0.637549801817697 1 0.929 1.04052762631891e-39 "3" "MDM4"
1.30123169259809e-42 0.635161698484304 1 0.714 2.39712902410419e-38 "3" "AFMID"
2.78277058824349e-42 0.656823800035397 1 0.875 5.12641997766216e-38 "3" "INSR"
4.48903377121769e-42 0.439271062012885 1 0.992 8.26969801333723e-38 "3" "SUMF2"
1.31611796014035e-40 0.376779243250241 1 1 2.42455250617055e-36 "3" "EIF5A"
3.57610736047333e-40 0.435769936076188 1 0.986 6.58790497946397e-36 "3" "EIF2S3"
2.78576606881282e-39 0.641109413648468 0.891 0.409 5.13193825196697e-35 "3" "RNF122"
5.2818184666518e-39 0.301567936922081 0.728 0.164 9.73016597926595e-35 "3" "RP11-277B15.3"
3.56941548581451e-37 0.437913131074375 1 0.964 6.57557720796748e-33 "3" "WTAP"
2.80035875523122e-36 0.38540552889428 1 0.996 5.15882089888696e-32 "3" "SAR1A"
5.45754554273174e-36 0.625360098272722 1 0.859 1.00538903988204e-31 "3" "ADRB1"
2.68314478842452e-35 0.45602252972647 1 0.942 4.94288932923565e-31 "3" "CAPZA1"
2.98318490333347e-35 0.38831988136826 1 0.994 5.49562322892092e-31 "3" "STEAP2"
3.38908559746414e-35 0.279465087241687 0.576 0.116 6.24337348764844e-31 "3" "XYLT2"
2.39373746587933e-34 0.381473560735149 1 0.997 4.40974315964291e-30 "3" "CDC42"
3.25813399811956e-33 0.506028789729824 0.957 0.65 6.00213445133586e-29 "3" "CDC42SE1"
4.55064133878031e-31 0.340643893161387 1 0.989 8.38319147430109e-27 "3" "SRSF6"
4.8898157414241e-31 0.515742682914786 0.978 0.775 9.00801855885148e-27 "3" "RASGEF1B"
1.34678832879943e-27 0.309110289259299 1 0.989 2.4810534593143e-23 "3" "MARCH6"
1.59750254223885e-26 0.462668306156658 0.989 0.836 2.9429191833124e-22 "3" "AXL"
6.52378125015606e-26 0.386858570621502 0.859 0.437 1.20181098190375e-21 "3" "AMFR"
7.49301346485072e-26 0.378657713158467 0.989 0.761 1.3803629404948e-21 "3" "CNOT6L"
1.19166319209151e-25 0.406158796702582 0.87 0.44 2.19528193247099e-21 "3" "B4GALT1"
3.66507840116981e-25 0.397255011177524 1 0.96 6.75180743063503e-21 "3" "ENPP1"
4.19272883485331e-25 0.392191727728297 1 0.977 7.72384505956677e-21 "3" "IRF2BPL"
4.66629651662468e-25 0.430971887607793 0.913 0.649 8.59625144292599e-21 "3" "RREB1"
4.72978929891205e-24 0.371144632486721 0.989 0.814 8.71321784645578e-20 "3" "LETM1"
5.16688458493065e-24 0.402174276052835 0.978 0.807 9.51843478235924e-20 "3" "THAP5"
4.69602057727214e-23 0.336758696150594 0.804 0.376 8.65100910745074e-19 "3" "SERPINI1"
8.17183988876431e-23 0.392290029331918 0.957 0.607 1.50541634430816e-18 "3" "GIGYF1"
3.16928668617976e-22 0.414506937942625 0.902 0.623 5.83845993328036e-18 "3" "DCAKD"
3.73851238193594e-22 0.30965341997372 0.685 0.266 6.88708751000238e-18 "3" "MTA2"
9.76433140544486e-22 0.374499552310367 0.913 0.568 1.79878513151105e-17 "3" "ANKRD40"
1.03475958368023e-21 0.487631904803281 0.967 0.801 1.90623410505572e-17 "3" "HCAR2"
5.42308998280508e-21 0.287628074371004 1 0.984 9.99041636632352e-17 "3" "ATP6AP2"
6.68304559062077e-21 0.280100168019198 1 0.987 1.23115065870416e-16 "3" "TMED4"
9.38262994276156e-21 0.269671811487336 1 0.983 1.72846808805554e-16 "3" "PNPLA8"
1.18384773015212e-20 0.330753071406204 1 0.837 2.18088428848624e-16 "3" "UBA6"
3.07102836780274e-20 0.377260089411866 0.978 0.872 5.65744845916621e-16 "3" "APOBEC3C"
4.17145991945234e-20 0.270501321249405 1 0.964 7.68466346361509e-16 "3" "TMEM106B"
8.30999343753485e-20 0.300023220938967 1 0.942 1.53086699106267e-15 "3" "WDR43"
2.23306502462423e-19 0.322499545319371 1 0.942 4.11375238836277e-15 "3" "TLE3"
2.9382135529557e-19 0.28745156842255 1 0.975 5.41277700725499e-15 "3" "TNRC6B"
8.29238307644469e-19 0.323549753586603 0.989 0.777 1.52762281034264e-14 "3" "SEC22B"
8.67197375370295e-19 0.262899566676501 1 1 1.59755100490716e-14 "3" "RBM11"
1.45280210134676e-18 0.261678584366631 0.978 0.972 2.676352031101e-14 "3" "PDCD4"
1.74722558697216e-18 0.283191061946506 0.728 0.367 3.21873897632011e-14 "3" "HIST1H3E"
2.43693514210866e-18 0.312447703886828 1 0.958 4.48932191879258e-14 "3" "PPP1CB"
3.24451359412359e-18 0.286593789466188 1 0.951 5.97704294309448e-14 "3" "RBM6"
5.88001098269277e-18 0.271302320165689 0.989 0.93 1.08321562323166e-13 "3" "CMTM6"
8.31800340324304e-18 0.279876420057019 1 0.925 1.53234258694543e-13 "3" "TP53"
9.00612578726514e-18 0.261747345413773 0.717 0.346 1.65910849252998e-13 "3" "C15orf52"
9.89876702846825e-18 0.290970848837321 0.967 0.847 1.82355086198442e-13 "3" "SLC30A5"
