Var1,ASP14_i10_plus_midhigh
r1570,0.965
r1571,0.965
r1573,0.965
r1574,0.965
r1575,0.965
r1576,0.965
r1578,0.965
r1579,0.965
r1580,0.965
r1581,0.965
r1583,0.965
r1584,0.965
r1585,0.965
r1586,0.965
r1587,0.965
r1588,0.965
r1589,0.965
r1590,0.965
r1591,0.965
r1592,0.965
r1593,0.965
r1594,0.965
r1595,0.965
r1596,0.965
r1597,0.965
r1598,0.965
r1599,0.965
r1600,0.965
r1602,0.965
r1603,0.965
r1604,0.965
r1605,0.965
r1606,0.965
r1607,0.965
r1608,0.965
r1609,0.965
r1610,0.965
r1611,0.965
r1612,0.965
r1613,0.965
r1614,0.965
r1615,0.965
r1616,0.965
r1617,0.965
r1618,0.965
r1619,0.965
r1620,0.965
r1621,0.965
r1622,0.965
r1623,0.965
r1624,0.965
r1625,0.965
r1626,0.965
r1627,0.965
r1628,0.965
r1629,0.965
r1630,0.965
r1631,0.965
r1632,0.965
r1633,0.965
r1634,0.965
r1635,0.965
r1636,0.965
r1637,0.965
r1638,0.965
r1639,0.965
r1640,0.965
r1641,0.965
r1642,0.965
r1643,0.965
r1644,0.965
r1645,0.965
r1646,0.965
r1647,0.965
r1648,0.965
r1649,0.965
r1650,0.965
r1651,0.965
r1652,0.965
r1653,0.965
r1654,0.965
r1655,0.965
r1656,0.965
r1657,0.965
r1658,0.965
r1659,0.965
r1660,0.965
r1661,0.965
r1662,0.965
r1664,1.077
r1665,1.077
r1666,1.077
r1667,1.077
r1668,1.077
r1669,1.077
r1670,1.077
r1671,1.077
r1672,1.077
r1673,1.077
r1674,1.077
r1675,1.077
r1676,1.077
r1677,1.077
r1678,1.077
r1679,1.077
r1680,1.077
r1681,1.077
r1682,1.077
r1683,1.077
r1684,1.077
r1685,1.077
r1686,1.077
r1687,1.077
r1690,1.077
r1691,1.077
r1692,1.077
r1693,1.077
r1695,1.077
r1696,1.077
r1698,1.077
r1700,1.077
r1701,1.077
r1702,1.077
r1705,1.077
r1706,1.077
r1707,1.077
r1708,1.077
r1710,1.077
r1711,1.077
r1713,1.077
r1715,1.077
r1716,1.077
r1717,1.077
r1720,1.077
r1721,1.077
r1722,1.077
r1723,1.077
r1725,1.077
r1726,1.077
r1728,1.077
r1730,1.077
r1731,1.077
r1732,1.077
r1733,1.077
r1734,1.077
r1735,1.077
r1736,1.077
r1737,1.077
r1738,1.077
r1739,1.077
r1740,1.077
r1741,1.077
r1742,1.077
r1743,1.077
r1744,1.077
r1745,1.077
r1746,1.077
r1747,1.077
r1748,1.077
r1749,1.077
r1750,1.077
r1751,1.077
r1752,1.077
r1753,1.077
r1754,1.077
r1755,1.077
r1756,1.077
r1757,1.077
r1758,1.077
r1759,1.077
r1760,1.077
r1761,1.077
r1762,1.077
r1763,1.077
r1764,1.077
r1765,1.077
r1766,1.077
r1767,1.077
r1768,1.077
r1769,1.077
r1770,1.077
r1771,1.077
r1772,1.077
r1773,1.077
r1774,1.077
r1775,1.077
r1776,1.077
r1777,1.077
r1778,1.077
r1779,1.077
r1780,1.077
r1781,1.077
r1782,1.077
r1783,1.077
r1784,1.077
r1785,1.077
r1786,1.077
r1787,1.077
r1788,1.077
r1789,1.077
r1790,1.077
r1791,1.077
r1792,1.077
r1796,1.077
r1797,1.077
r1798,1.077
r1799,1.077
r1800,1.077
r1801,1.077
r1803,1.077
r1805,1.077
r1806,1.077
r1807,1.077
r1808,1.077
r1809,1.077
r1810,1.077
r1811,1.077
r1812,1.077
r1813,1.077
r1814,1.077
r1815,1.077
r1816,1.077
r1817,1.077
r1818,1.077
r1819,1.077
r1820,1.077
r1821,1.077
r1822,1.077
r1823,1.077
r1824,1.077
r1825,1.077
r1826,1.077
r1827,1.077
r1828,1.077
r1829,1.077
r1830,1.077
r1831,1.077
r1832,1.077
r1833,1.077
r1834,1.077
r1835,1.077
r1836,1.077
r1837,1.077
r1841,1.077
r1842,1.077
r1843,1.077
r1844,1.077
r1846,1.077
r1847,1.077
r1848,1.077
r1850,1.077
r1851,1.077
r1852,1.077
r1853,1.077
r1854,1.077
r1855,1.077
r1856,1.077
r1857,1.077
r1858,1.077
r1859,1.077
r1860,1.077
r1861,1.077
r1862,1.077
r1863,1.077
r1864,1.077
r1865,1.077
r1866,1.077
r1867,1.077
r1871,1.077
r1872,1.077
r1873,1.077
r1874,1.077
r1876,1.077
r1877,1.077
r1879,1.077
r1880,1.077
r1881,1.077
r1882,1.077
r1883,1.077
r1884,1.077
r1885,1.077
r1886,1.077
r1887,1.077
r1888,1.077
r1889,1.077
r1890,1.077
r1891,1.077
r1892,1.077
r1893,1.077
r1894,1.077
r1895,1.077
r1896,1.077
r1897,1.077
r1898,1.077
r1899,1.077
r1900,1.077
r1901,1.077
r1902,1.077
r1903,1.077
r1904,1.077
r1905,1.077
r1906,1.077
r1907,1.077
r1908,1.077
r1909,1.077
r1910,1.077
r1911,1.077
r1912,1.077
r1913,1.077
r1914,1.077
r1915,1.077
r1916,1.077
r1917,1.077
r1918,1.077
r1919,1.077
r1920,1.077
r1921,1.077
r1922,1.077
r1923,1.077
r1924,1.077
r1925,1.077
r1926,1.077
r1928,1.077
r1929,1.077
r1930,1.077
r1931,1.077
r1932,1.077
r1933,1.077
r1934,1.077
r1935,1.077
r1936,1.077
r1937,1.077
r1938,1.077
r1939,1.077
r1940,1.077
r1941,1.077
r1942,1.077
r1943,1.077
r1944,1.077
r1945,1.077
r1946,1.077
r1947,1.077
r1948,1.077
r1949,1.077
r1950,1.077
r1951,1.077
r1952,1.077
r1953,1.077
r1954,1.077
r1955,1.077
r1956,1.077
r1957,1.077
r1958,1.077
r1959,1.077
r1960,1.077
r1961,1.077
r1962,1.077
r1963,1.077
r1964,1.077
r1965,1.077
r1966,1.077
r1967,1.077
r1968,1.077
r1969,1.077
r1970,1.077
r1971,1.077
r1972,1.077
r1973,1.077
r1974,1.077
r1975,1.077
r1976,1.077
r1977,1.077
r1978,1.077
r1979,1.077
r1980,1.077
r1981,1.077
r1982,1.077
r1983,1.077
r1984,1.077
r1985,1.077
r1986,1.077
r1987,1.077
r1988,1.077
r1989,1.077
r1990,1.077
r1991,1.077
r1992,NaN
r1993,NaN
r1994,NaN
r1995,NaN
r1996,NaN
r1997,NaN
r1998,NaN
r1999,NaN
r2000,NaN
r2001,NaN
r2002,NaN
r2003,NaN
r2004,NaN
r2005,NaN
r2006,NaN
r2007,NaN
r2008,NaN
r2009,NaN
r2010,NaN
r2011,NaN
r2012,NaN
r2013,NaN
r2014,NaN
r2015,NaN
r2016,NaN
r2017,NaN
r2018,NaN
r2019,NaN
r2020,NaN
r2021,NaN
r2022,NaN
r2023,NaN
r2024,NaN
r2026,NaN
r2027,NaN
r2028,NaN
r2029,NaN
r2030,NaN
r2031,NaN
r2032,NaN
r2034,NaN
r2035,NaN
r2036,NaN
r2037,NaN
r2038,NaN
r2039,NaN
r2040,NaN
r2041,NaN
r2042,NaN
r2043,NaN
r2044,NaN
r2045,NaN
r2046,NaN
r2047,NaN
r2048,NaN
r2049,NaN
r2050,NaN
r2051,NaN
r2052,NaN
r2053,NaN
r2054,NaN
r2055,NaN
r2056,NaN
r2057,NaN
r2058,NaN
r2059,NaN
r2060,NaN
r2061,NaN
r2062,NaN
r2063,NaN
r2064,NaN
r2065,NaN
r2066,NaN
r2067,NaN
r2068,NaN
r2069,NaN
r2070,NaN
r2071,NaN
r2079,2.4145
r2080,2.4145
r2081,2.4145
r2083,2.4145
r2084,2.4145
r2093,2.4145
r2094,2.4145
r2095,2.4145
r2097,2.4145
r2099,2.4145
r2101,2.4145
r2102,2.4145
r2104,2.4145
